Auera Auara;-25,425299;-49,278111
Aurora Bar;-25,4363626;-49,2840935
Bar Menina da Itupava;-25,4225565;-49,2535944
Cervejaria da Vila;-25,4043206;-49,2712254
Crossroads;-25,4474417;-49,283541
Farol Snooker Bar;-25,4481295;-49,2976984
James Bar;-25,4364418;-49,2853112
Layout;-25,4451475;-49,2674533
Mondo Birre;-25,4388509;-49,283846
Pulse;-25,437687;-49,2752451
UpSide GastroBar;-25,4299421;-49,2471323
Wood's Pub;-25,437809;-49,2847377
